Timestamp,"A01 - Daily Transpiration (g)","A02 - Daily Transpiration (g)","A03 - Daily Transpiration (g)","A04 - Daily Transpiration (g)","A05 - Daily Transpiration (g)","A06 - Daily Transpiration (g)","B01 - Daily Transpiration (g)","B02 - Daily Transpiration (g)","B03 - Daily Transpiration (g)","B04 - Daily Transpiration (g)","B05 - Daily Transpiration (g)","B06 - Daily Transpiration (g)","C01 - Daily Transpiration (g)","C02 - Daily Transpiration (g)","C04 - Daily Transpiration (g)","C05 - Daily Transpiration (g)","D02 - Daily Transpiration (g)","D03 - Daily Transpiration (g)","D04 - Daily Transpiration (g)","D05 - Daily Transpiration (g)"
2023-02-15T00:00:00,13.83,10.79,14.66,59.81,50.52,84.31,28.43,46.83,65.71,8587.88,35.89,16.82,30.75,35.77,40.62,32.97,25.23,30.22,29.02,-3.44
2023-02-16T00:00:00,16.29,38.49,18.57,52.87,49.82,42.99,58.03,46.99,74.66,73.31,45.02,12.99,36.19,44.42,49.57,39.67,30.11,24.29,28.97,29.67
2023-02-17T00:00:00,19.18,148.85,25.4,61.9,53.45,39.44,97.67,49.13,87.8,3207.7,55.84,15.53,46.61,57.87,62.76,52.71,32.69,30.13,39.29,41.5
2023-02-18T00:00:00,21,83.82,26.82,28.78,19.8,78.63,123.89,48.47,77.06,10178.97,60.97,58.31,55.97,66.49,71.37,61.21,36.75,37.05,47.66,41.02
2023-02-19T00:00:00,23.7,91.24,31.76,32.72,25.43,61.54,129.91,49.02,81.07,4321.04,66.4,52.97,61.38,79.9,81.55,70.1,36.75,44.44,54.46,46.15
2023-02-20T00:00:00,26.43,108.42,39.65,21.36,25.77,50.22,55.34,46,99.06,94.83,78.49,49.46,68.95,92.69,92.39,80.73,44.78,53.95,69.55,52.1
2023-02-21T00:00:00,32.47,126.52,51.93,24.62,26.17,51.84,147.06,45.68,125.59,-5.24,95.16,49.65,85.75,113.93,114.42,99.31,54.76,66.24,89.29,62.45
2023-02-22T00:00:00,38.56,160.14,66.77,30.45,27.64,55.39,92.24,47.57,153.77,3736.88,117.54,49.05,103.49,136.42,140.26,123.23,65.62,84.34,111.33,73.71
2023-02-23T00:00:00,32.12,145.61,67.79,23.35,24.77,44.42,74.43,25.84,125.37,276.3,114.54,41.4,88.17,120.02,138.96,126.1,64.95,83.68,109.91,79.94
2023-02-24T00:00:00,28.08,33.8,48.58,33.47,22.06,28.68,63.84,27.66,86.2,3836.56,87.97,32.99,64.64,74.09,98.3,374.63,47.9,51.16,74.54,143.48
2023-02-25T00:00:00,52.09,30.78,92.32,34.56,31.26,36.4,144.66,38.01,166.5,0,150.49,37.24,113.9,135.57,181.95,150.44,83.06,96.66,132.76,117.86
2023-02-26T00:00:00,51.96,34.59,95.73,37.87,31.39,28.79,89.01,32.63,168.86,0,152.01,33.29,114.17,134.62,181.92,153.76,78.92,106.72,134.81,118.04
2023-02-27T00:00:00,37.97,16.74,71.57,33.8,28.5,26.06,98.36,23.51,113.33,0,110.55,25.35,78.1,93.57,123.66,116.73,55.32,82.36,96.69,83.74
2023-02-28T00:00:00,66.97,120.74,122.06,50.47,39.9,37.92,193.83,41.31,217.9,0,183.82,38.8,155.82,186.53,238.07,364.85,111.84,129.66,177.14,156.65
2023-03-01T00:00:00,9.26,49.09,15.02,27.53,20.07,37.44,235.03,46.79,32.78,0,32.32,38.9,22.3,16.37,16.53,17.16,16.79,10.15,16.1,20.03
